기준년월,시도명,시군구명,국적명,업종분류명,사용금액
2015-09,경기도,수원시 장안구,캐나다,요식/유흥.패스트푸드,68900
2015-09,경기도,광주시,러시아,의류/잡화.남.여기성복,19800
2015-09,경기도,용인시 기흥구,체코,여행/교통.2급  호텔,396000
2015-09,경기도,고양시 일산서구,러시아,문화/레져.레저스포츠,37000
2015-09,경기도,의정부시,중국,요식/유흥.양식,174622
2015-09,경기도,동두천시,홍콩,요식/유흥.한식,135000
2015-09,경기도,양주시,일본,의류/잡화.남.여기성복,282000
2015-09,경기도,화성시,홍콩,문화/레져.실외골프장,2866100
2015-09,경기도,구리시,오스트레일리아,유통.편의점,99100
2015-09,경기도,오산시,필리핀,유통.할인점/슈퍼마켓,141300
2015-09,경기도,안양시 동안구,브라질,유통.백화점,122000
2015-09,경기도,이천시,사우디아라비아,문화/레져.운동경기레져용품,92000
2015-09,경기도,성남시 수정구,노르웨이,유통.백화점,49000
2015-09,경기도,파주시,불가리아,유통.편의점,25600
2015-09,경기도,성남시 분당구,핀란드,유통.할인점/슈퍼마켓,1500
2015-09,경기도,과천시,중국,여행/교통.여객선,1381569
2015-09,경기도,안산시 단원구,슬로바키아,유통.할인점/슈퍼마켓,3000
2015-09,경기도,안양시 만안구,영국,건강/미용.안경콘텍트렌즈,285000
2015-09,경기도,의왕시,아일랜드,유통.편의점,12100
2015-09,경기도,안산시 상록구,베트남,유통.할인점/슈퍼마켓,1437310
2015-09,경기도,안성시,미국,건강/미용.안경콘텍트렌즈,260000
2015-09,경기도,여주시,중국,유통.식품잡화,10272
2015-09,경기도,용인시 수지구,아제르바이잔,유통.할인점/슈퍼마켓,199960
2015-09,경기도,고양시 덕양구,일본,요식/유흥.한식,4260100
2015-09,경기도,광명시,영국,농축수산물.청과물,63000
2015-09,경기도,남양주시,독일,자동차.주유소,60880
2015-09,경기도,양평군,홍콩,자동차.주유소,128000
2015-09,경기도,수원시 권선구,미국,유통.편의점,3660750
2015-09,경기도,수원시 영통구,우크라이나,여행/교통.모텔여관기타숙박,3217500
2015-09,경기도,성남시 중원구,뉴질랜드,요식/유흥.제과점,4500
2015-09,경기도,연천군,미국,요식/유흥.한식,703500
2015-09,경기도,용인시 처인구,콜롬비아,요식/유흥.일반대중음식,72200
2015-09,경기도,고양시 일산동구,룩셈부르크,요식/유흥.일반대중음식,21000
2015-09,경기도,군포시,캐나다,유통.편의점,23090
2015-09,경기도,김포시,대만,요식/유흥.일반대중음식,57770
2015-09,경기도,수원시 팔달구,아르헨티나,의류/잡화.내의류판매업,39800
2015-09,경기도,평택시,오스트레일리아,유통.농협(마트),34900
2015-09,경기도,하남시,홍콩,요식/유흥.한식,599400
2015-09,경기도,시흥시,중국,유통.할인점/슈퍼마켓,62748084
2015-09,경기도,포천시,미국,요식/유흥.단란주점,29900
2015-09,경기도,가평군,스리랑카,요식/유흥.일반대중음식,42000
2015-09,경기도,부천시,카자흐스탄,요식/유흥.한식,328800
